product_code,product_name,price_band,unit_price_min,unit_price_max,allowed_plants,allowed_segments
P001,アクセルハウジング,low,1200,1600,"A|B","automotive|construction|consumer"
P002,断熱コンポジット,low,1300,1800,"A","construction|chemical|others"
P003,配線ハーネス,low,1000,1400,"B","automotive|electronics"
P004,燃料制御バルブ,low,1500,1900,"A|B","automotive|chemical"
P005,標準ギアセット,low,1400,1700,"A","automotive|construction"
P006,汎用シール材,low,1100,1300,"B","construction|consumer|others"
P007,セーフティボルト,low,1050,1250,"A|B","automotive|electronics"
P008,耐熱パッキン,low,1200,1500,"A|B","chemical|others"
P009,医療用マイクロポンプ,high,6500,7500,"B","medical"
P010,精密レーザーモジュール,high,6000,7000,"A","electronics"
P011,骨再生プレート,high,7000,8200,"B","medical"
P012,高速通信用モジュール,high,6800,7200,"A|B","electronics"
P013,スペシャルコーティング材,high,6200,6900,"A","chemical|others"
P014,食品向け滅菌バルブ,high,6100,6800,"B","food_beverage"
P015,ヘビーデューティアクチュエータ,high,6700,7400,"A|B","construction|automotive"
P016,医療用センシングチップ,high,7200,8000,"B","medical"
P017,化学反応制御ユニット,high,6300,7100,"A","chemical"
P018,クリーンルームコントローラ,high,6500,7300,"A","electronics"
P019,スマート家電基板,high,6000,6600,"B","consumer|electronics"
P020,多目的ロボット関節,high,6400,7200,"A|B","automotive|construction|electronics"
